name,6393,6391,google,bing,deepl,libretranslate,mymemory,papago,baidu,youdao,papago,jparacrawl,sugoi,m2m100,nllb
Acehnese,ace,,,,,,,,,,,,,,ace_Arab
Acoli,ach,,,,,,,,ach,,,,,,
Afrikaans,afr,af,af,af,,,af-ZA,,afr,,,,,af,afr_Latn
Akan,aka,ak,ak,,,,,,aka,,,,,,aka_Latn
Albanian,sqi,sq,sq,sq,,,sq-AL,,alb,,,,,sq,
Albanian Tosk,als,,,,,,,,,,,,,,als_Latn
Algerian,arq,,,,,,,,arq,,,,,,
Amharic,amh,am,am,am,,,am-ET,,amh,,,,,am,amh_Ethi
Ancient Greek,grc,,,,,,grc-GR,,,,,,,,
Antiguan,aig,,,,,,aig-AG,,,,,,,,
Arabic,ara,ar,ar,ar,,ar,ar-SA,,ara,ar,,,,ar,
Arabic Egyptian,arz,,,,,,,,,,,,,,arz_Arab
Arabic Levantine,apc,,,,,,,,,,,,,,apc_Arab
Arabic Mesopotamian,acm,,,,,,,,,,,,,,acm_Arab
Arabic Modern Standard,arb,,,,,,,,,,,,,,arb_Arab
Arabic Moroccan,ary,,,,,,,,,,,,,,ary_Arab
Arabic Najdi,ars,,,,,,,,,,,,,,ars_Arab
Arabic South Levantine,ajp,,,,,,,,,,,,,,ajp_Arab
Arabic Ta izzi Adeni,acq,,,,,,,,,,,,,,acq_Arab
Arabic Tunisian,aeb,,,,,,,,,,,,,,aeb_Arab
Aragonese,arg,an,,,,,,,arg,,,,,,
Armenian,hye,hy,hy,hy,,,hy-AM,,arm,,,,,hy,hye_Armn
Assamese,asm,as,as,as,,,,,asm,,,,,,asm_Beng
Asturian,ast,,,,,,,,ast,,,,,ast,ast_Latn
Awadhi,awa,,,,,,,,,,,,,,awa_Deva
Ayacucho Quechua,quy,,,,,,,,,,,,,,quy_Latn
Aymara,aym,ay,ay,,,,,,aym,,,,,,ayr_Latn
Azerbaijani,aze,az,az,az,,az,az-AZ,,aze,,,,,az,azb_Arab
Bahamian,bah,,,,,,bah-BS,,,,,,,,
Bajan Creole,bjs,,,,,,bjs-BB,,,,,,,,
Balinese,ban,,,,,,,,,,,,,,ban_Latn
Balochi,bal,,,,,,,,bal,,,,,,
Bambara,bam,bm,bm,,,,,,,,,,,,bam_Latn
Banjarese,bjn,,,,,,,,,,,,,,bjn_Arab
Barí,mot,,,,,,,,mot,,,,,,
